file,symbol
01_Kernel.md,app
01_Kernel.md,delta
01_Kernel.md,eqW
01_Kernel.md,integrate
01_Kernel.md,merge
03_Termination_KO7.md,app
03_Termination_KO7.md,appearing
03_Termination_KO7.md,apply
03_Termination_KO7.md,delta
03_Termination_KO7.md,deltaFlag
03_Termination_KO7.md,deltaFlag_app
03_Termination_KO7.md,deltaFlag_eqW
03_Termination_KO7.md,deltaFlag_integrate
03_Termination_KO7.md,deltaFlag_merge
03_Termination_KO7.md,deltaFlag_rec_delta
03_Termination_KO7.md,deltaFlag_rec_zero
03_Termination_KO7.md,deltaFlag_void
03_Termination_KO7.md,delta_subst_drop_rec_succ
03_Termination_KO7.md,delta_subst_drop_rec_zero
03_Termination_KO7.md,dm_drop_R_rec_succ
03_Termination_KO7.md,dm_drop_R_rec_zero
03_Termination_KO7.md,drop_R_eq_diff
03_Termination_KO7.md,drop_R_eq_refl_zero
03_Termination_KO7.md,drop_R_int_delta
03_Termination_KO7.md,drop_R_merge_cancel_zero
03_Termination_KO7.md,drop_R_merge_void_left_zero
03_Termination_KO7.md,drop_R_merge_void_right_zero
03_Termination_KO7.md,drop_R_rec_succ
03_Termination_KO7.md,drop_R_rec_zero
03_Termination_KO7.md,eqW
03_Termination_KO7.md,integrate
03_Termination_KO7.md,kappaM
03_Termination_KO7.md,kappaM_eq_diff
03_Termination_KO7.md,kappaM_eq_refl
03_Termination_KO7.md,kappaM_int_delta
03_Termination_KO7.md,kappaM_merge_cancel
03_Termination_KO7.md,kappaM_merge_void_left
03_Termination_KO7.md,kappaM_merge_void_right
03_Termination_KO7.md,kappaM_rec_zero
03_Termination_KO7.md,merge
03_Termination_KO7.md,merge_cancel
03_Termination_KO7.md,mpo_drop_R_eq_diff
03_Termination_KO7.md,mpo_drop_R_eq_refl
03_Termination_KO7.md,mpo_drop_R_int_delta
03_Termination_KO7.md,mpo_drop_R_merge_cancel
03_Termination_KO7.md,mpo_drop_R_merge_void_left
03_Termination_KO7.md,mpo_drop_R_merge_void_right
03_Termination_KO7.md,mpo_drop_R_rec_zero
03_Termination_KO7.md,mpo_measure_decreases
03_Termination_KO7.md,muDrop
03_Termination_KO7.md,mu_lt_eq_diff
